EpochMs,Time_s,SampleIndex,PackNum,Marker,O1_V,O2_V,T3_V,T4_V
1764711687827,0.000000,0,0,0,0.19033602746584652,0.024538063562453808,0.23443206256109483,0.09636964451755954
1764711687831,0.004000,1,0,0,0.18999461173497367,0.027761485826001957,0.23377555253558402,0.09614457716424672
1764711687835,0.008000,2,1,0,0.18748682736094224,0.028898266695276925,0.23147071024962448,0.09244431728774766
1764711687839,0.012000,3,1,0,0.1862184393104928,0.03067362849581575,0.23012030612974751,0.09011887561690866
1764711687843,0.016000,4,2,0,0.18705919938964785,0.033398087881172066,0.23028243091815084,0.09076394153970865
1764711687847,0.020000,5,2,0,0.18717364041675608,0.03547137782228262,0.22983267768161553,0.09057625825525117
1764711687851,0.024000,6,3,0,0.18454760031471282,0.034812960446320006,0.2273268006580359,0.08384216675011325
1764711687855,0.028000,7,3,0,0.18351000166893164,0.037771642467157814,0.22612707722385142,0.08202903941062871
1764711687859,0.032000,8,4,0,0.18430803709796628,0.04139217509477148,0.22621595975490547,0.08294914526857879
1764711687863,0.036000,9,4,0,0.18414324201893045,0.04319156951100303,0.22559073027680424,0.0818280046730086
1764711687867,0.040000,10,5,0,0.18255060439167442,0.04620060558376845,0.22406980902653603,0.08122337457978686
1764711687871,0.044000,11,5,0,0.18101099110697852,0.0484711155615955,0.22257292039196053,0.08102157690198603
1764711687875,0.048000,12,6,0,0.18134554037622488,0.05035443339770641,0.22232877953412966,0.08248604057888087
1764711687879,0.052000,13,6,0,0.18131921893998998,0.050964404072193215,0.22186414896407028,0.08134887823951553
1764711687883,0.056000,14,7,0,0.18043077509953986,0.05311436950146628,0.22084066471163247,0.08290298738764514
1764711687887,0.060000,15,7,0,0.1789171017809885,0.054865317216222016,0.21933385785470758,0.08358848914002337
1764711687891,0.064000,16,8,0,0.17814271749755622,0.054461721860620364,0.21826764895214934,0.08200653267529744
1764711687895,0.068000,17,8,0,0.17911622916815678,0.05633016236320721,0.21858541353741984,0.08542374174474883
1764711687899,0.072000,18,9,0,0.17841279832153162,0.05672689125718237,0.21760312805474097,0.08723801349450445
1764711687903,0.076000,19,9,0,0.17636850010728847,0.055476050830889544,0.21558782156736525,0.08539742030851394
1764711687907,0.080000,20,10,0,0.17590844717831344,0.055334525427365715,0.214818777865198,0.08502930167131584
1764711687911,0.084000,21,10,0,0.176918961447679,0.05684171375438095,0.21525823140929357,0.08789032734902129
1764711687915,0.088000,22,11,0,0.17665422120496865,0.05800863076079441,0.21474057649667405,0.08944786972796415
1764711687919,0.092000,23,11,0,0.1740213146412989,0.0561466752497437,0.21240330925303388,0.08495224471306297
1764711687923,0.096000,24,12,0,0.17373902677443198,0.057396371265765446,0.21191083136637817,0.08570145197053143
1764711687927,0.100000,25,12,0,0.1749006031995804,0.05897107979877453,0.21242200128746155,0.0885506520754357
1764711687931,0.104000,26,13,0,0.17451989604940038,0.05868345135064254,0.21174794363779414,0.0885090718355864
1764711687935,0.108000,27,13,0,0.172769329804735,0.05801473428224019,0.21015873924135137,0.08657654435781895
1764711687939,0.112000,28,14,0,0.1721837732160313,0.05834356150013113,0.20943509047993705,0.08721932146007677
1764711687943,0.116000,29,14,0,0.1732259495028968,0.058853587010943426,0.20982495291228573,0.08961876832844574
1764711687947,0.120000,30,15,0,0.17301499654292732,0.05714345659585628,0.20923901485349164,0.08830078916624944
1764711687951,0.124000,31,15,0,0.1719293326657607,0.05699315738025416,0.20813961805307205,0.08824585747323749
1764711687955,0.128000,32,16,0,0.1710023603461841,0.05663610137567651,0.2071016379372005,0.08858918055456215
1764711687959,0.132000,33,16,0,0.17123086093031017,0.05490651598598097,0.2067285601888277,0.08864296783730301
1764711687963,0.136000,34,17,0,0.1717698781679899,0.05390210523806118,0.20661869680280381,0.08881119614715209
1764711687967,0.140000,35,17,0,0.17074753832582315,0.05240597954366641,0.20545406861693252,0.0875756145244737
1764711687971,0.144000,36,18,0,0.16935822425672936,0.0501087666595141,0.20413952268554944,0.08496635910640632
1764711687975,0.148000,37,18,0,0.1693395322223017,0.04712643349307394,0.20381908780964644,0.08235939250888111
1764711687979,0.152000,38,19,0,0.17035386119257087,0.04637989652623799,0.20426769663591066,0.084066089693155
1764711687983,0.156000,39,19,0,0.16961495362754214,0.04616360298500346,0.20338459337672557,0.08372238514173998
1764711687987,0.160000,40,20,0,0.16756035572085926,0.04310802756121403,0.2014776243950123,0.07878654364256253
1764711687991,0.164000,41,20,0,0.1678590468016117,0.041667977970102285,0.20142955916362684,0.07757919080657083
