run,n_samples,duration_s,alpha_all,n_tail_all,n_steps,mean_step_deg
Angel1-levy-flight-eyeTr-2025-12-02-13-13-12,12105,100.86666666666666,2.1145880388110188,797,12104,0.14869897944124147
Iago-levy-flight-eyeTr-2025-12-02-13-18-19,12140,101.15833333333333,2.011547757745105,2524,12139,0.5117722791925965
Ravi-levy-flight-eyeTr-2025-12-02-13-22-45,12122,101.00833333333333,2.00425638539913,1003,12121,0.21318075510275067
Seth-levy-flight-eyeTr-2025-12-02-13-29-08,12124,101.025,1.9178670978598387,1712,12123,0.3787478532401809
SETH2-levy-flight-eyeTr-2025-12-02-13-35-06,12122,101.00833333333333,2.037782630050637,1571,12121,0.2916822155323109
Iago2-levy-flight-eyeTr-2025-12-02-13-42-21,12117,100.96666666666667,1.9407065972481408,1073,12116,0.2780746466273515
Ravi2-levy-flight-eyeTr-2025-12-02-13-46-15,12136,101.125,1.9394897884407105,1108,12135,0.21916374757180543
