run,n_samples,duration_s,fs_Hz,mean_step_deg,median_step_deg,max_step_deg,alpha_lmin_0.5,n_tail_0.5,alpha_lmin_1.0,n_tail_1.0,alpha_lmin_2.0,n_tail_2.0,beta_msd,eeg_file,n_eeg_samples
Angel1-levy-flight-eyeTr-2025-12-02-13-13-12,11995,60.544,200.00000000000426,0.14212713937929974,0.022478654782649703,39.10351582159844,2.1387477438848554,791,2.925826864231551,495,4.207676322305459,119,1.317145508512457,vid1_A/brainbit_20251202_130931.csv,73530.0
Iago-levy-flight-eyeTr-2025-12-02-13-18-19,12096,60.72,200.00000000000426,0.4948504477354538,0.09962554893198802,41.4121706754186,2.0215859886553655,2515,2.336231140358863,1484,2.89894799406337,698,1.0660260851740209,vid1_B/brainbit_20251202_131634.csv,43630.0
Ravi-levy-flight-eyeTr-2025-12-02-13-22-45,12012,60.629,200.00000000000426,0.20356726513724716,0.033092748450378066,72.43256020381993,2.0340376223068732,989,2.608245326485007,646,4.101638808743546,245,1.1375861704271146,vid1_C/brainbit_20251202_132059.csv,27200.0
Seth-levy-flight-eyeTr-2025-12-02-13-29-08,11731,60.64,200.00000000000426,0.3495778896792576,0.049180280599389094,49.25410231199022,1.9475213654782242,1692,2.1883916573455027,1023,3.0754291544816152,601,1.1133178979936018,vid1_D/brainbit_20251202_132751.csv,39968.0
SETH2-levy-flight-eyeTr-2025-12-02-13-35-06,12078,60.629,200.00000000000426,0.28298537967517234,0.05174446830338507,33.76765767713242,2.046352164529634,1567,2.4346657040061483,931,3.535438210817155,459,1.2307962554210572,vid2_A/brainbit_20251202_133227.csv,58880.0
Iago2-levy-flight-eyeTr-2025-12-02-13-42-21,11967,60.604,200.00000000000426,0.22923777063597897,0.03712398118508387,39.24426104043749,1.986601620349529,1056,2.39610862761187,672,3.475509318299198,311,1.1112948764692947,vid2_C/brainbit_20251202_134127.csv,31804.0
Ravi2-levy-flight-eyeTr-2025-12-02-13-46-15,12031,60.7,200.00000000000426,0.20833034267251985,0.032386648280384525,38.43738682402851,1.960133213855594,1094,2.6026135949995135,788,4.598439378977898,315,1.294863604421329,,
